Abschnitt,Abteilung,Gruppe,Klasse,Art,Code,Name_de
"A","","","","","A","LAND- UND FORSTWIRTSCHAFT, FISCHEREI"
"","","","","105101","105101","Herstellung von Frischmilchprodukten"
"","","","","105102","105102","Herstellung von Käse"
"","","","","105103","105103","Sonstige Milchverarbeitung"
"","","","1052","","1052","Herstellung von Speiseeis"
"","","","","105200","105200","Herstellung von Speiseeis"
"","","106","","","106","Mahl- und Schälmühlen, Herstellung von Stärke und Stärkeerzeugnissen"
"","","","1061","","1061","Mahl- und Schälmühlen"
"","","","","106100","106100","Mahl- und Schälmühlen"
"","","","1062","","1062","Herstellung von Stärke und Stärkeerzeugnissen"
"","","","","106200","106200","Herstellung von Stärke und Stärkeerzeugnissen"
"","","107","","","107","Herstellung von Back- und Teigwaren"
"","","","1071","","1071","Herstellung von Backwaren (ohne Dauerbackwaren)"
"","","","","107100","107100","Herstellung von Backwaren (ohne Dauerbackwaren)"
"","","","1072","","1072","Herstellung von Dauerbackwaren"
"","","","","107200","107200","Herstellung von Dauerbackwaren"
"","","","1073","","1073","Herstellung von Teigwaren"
"","","","","107300","107300","Herstellung von Teigwaren"
"","","108","","","108","Herstellung von sonstigen Nahrungsmitteln"
"","","","1081","","1081","Herstellung von Zucker"
"","","","","108100","108100","Herstellung von Zucker"
"","","","1082","","1082","Herstellung von Süsswaren (ohne Dauerbackwaren)"
"","","","","108201","108201","Herstellung von Kakao- und Schokoladeerzeugnissen"
"","","","","108202","108202","Herstellung von Zuckerwaren"
"","","","1083","","1083","Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz"
"","","","","108300","108300","Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz"
"","","","1084","","1084","Herstellung von Würzmitteln und Saucen"
"","","","","108400","108400","Herstellung von Würzmitteln und Saucen"
"","","","1085","","1085","Herstellung von Fertiggerichten"
"","","","","108500","108500","Herstellung von Fertiggerichten"
"","","","1086","","1086","Herstellung von homogenisierten und diätetischen Nahrungsmitteln"
"","","","","108600","108600","Herstellung von homogenisierten und diätetischen Nahrungsmitteln"
"","","","1089","","1089","Herstellung von sonstigen Nahrungsmitteln a. n. g."
"","","","","108900","108900","Herstellung von sonstigen Nahrungsmitteln a. n. g."
"","","109","","","109","Herstellung von Futtermitteln"
"","","","1091","","1091","Herstellung von Futtermitteln für Nutztiere"
"","","","","109100","109100","Herstellung von Futtermitteln für Nutztiere"
"","","","1092","","1092","Herstellung von Futtermitteln für sonstige Tiere"
"","","","","109200","109200","Herstellung von Futtermitteln für sonstige Tiere"
"","11","","","","11","Getränkeherstellung"
"","","110","","","110","Getränkeherstellung"
"","","","1101","","1101","Herstellung von Spirituosen"
"","","","","110100","110100","Herstellung von Spirituosen"
"","","","1102","","1102","Herstellung von Traubenwein"
"","","","","110200","110200","Herstellung von Traubenwein"
"","","","1103","","1103","Herstellung von Apfelwein und anderen Fruchtweinen"
"","","","","110300","110300","Herstellung von Apfelwein und anderen Fruchtweinen"
"","","","1104","","1104","Herstellung von Wermutwein und sonstigen aromatisierten Weinen"
"","","","","110400","110400","Herstellung von Wermutwein und sonstigen aromatisierten Weinen"
"","","","1105","","1105","Herstellung von Bier"
"","","","","110500","110500","Herstellung von Bier"
"","","","1106","","1106","Herstellung von Malz"
"","","","","110600","110600","Herstellung von Malz"
"","","","1107","","1107","Herstellung von Erfrischungsgetränken; Gewinnung natürlicher Mineralwässer"
"","","","","110700","110700","Herstellung von Erfrischungsgetränken; Gewinnung natürlicher Mineralwässer"
"","12","","","","12","Tabakverarbeitung"
"","","120","","","120","Tabakverarbeitung"
"","","","1200","","1200","Tabakverarbeitung"
"","","","","120000","120000","Tabakverarbeitung"
"","13","","","","13","Herstellung von Textilien"
"","","131","","","131","Spinnstoffaufbereitung und Spinnerei"
"","","","1310","","1310","Spinnstoffaufbereitung und Spinnerei"
"","","","","131001","131001","Baumwollaufbereitung und -spinnerei"
"","","","","131002","131002","Wollaufbereitung, Streichgarnspinnerei und Kammgarnspinnerei"
"","","","","131003","131003","Spinnstoffaufbereitung und Spinnerei"
"","","","","131004","131004","Sonstige Spinnstoffaufbereitung und Spinnerei"
"","","132","","","132","Weberei"
"","","","1320","","1320","Weberei"
"","","","","132001","132001","Baumwollweberei"
"","","","","132002","132002","Streichgarnweberei und Kammgarnweberei"
"","","","","132003","132003","Sonstige Weberei"
"","","133","","","133","Veredlung von Textilien und Bekleidung"
"","","","1330","","1330","Veredlung von Textilien und Bekleidung"
"","","","","133000","133000","Veredlung von Textilien und Bekleidung"
"","","139","","","139","Herstellung von sonstigen Textilwaren"
"","","","1391","","1391","Herstellung von gewirktem und gestricktem Stoff"
"","","","","139100","139100","Herstellung von gewirktem und gestricktem Stoff"
"","","","1392","","1392","Herstellung von konfektionierten Textilwaren (ohne Bekleidung)"
"","","","","139201","139201","Herstellung von Haus-, Bett- und Tischwäsche"
"","","","","139202","139202","Herstellung von Bettwaren"
"","","","","139203","139203","Herstellung von sonstigen konfektionierten Textilwaren (ohne Bekleidung)"
"","","","1393","","1393","Herstellung von Teppichen"
"","","","","139300","139300","Herstellung von Teppichen"
"","","","1394","","1394","Herstellung von Seilerwaren"
"","","","","139400","139400","Herstellung von Seilerwaren"
"","","","1395","","1395","Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung)"
"","","","","139500","139500","Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung)"
"","","","1396","","1396","Herstellung von technischen Textilien"
"","","","","139600","139600","Herstellung von technischen Textilien"
"","","","1399","","1399","Herstellung von sonstigen Textilwaren a. n. g."
"","","","","139901","139901","Stickerei"
"","","","","139902","139902","Herstellung von Bändern, Gurten, Posamenten und Schläuchen"
"","","","","139903","139903","Herstellung von sonstigen Textilwaren a. n. g."
"","14","","","","14","Herstellung von Bekleidung"
"","","141","","","141","Herstellung von Bekleidung (ohne Pelzbekleidung)"
"","","","1411","","1411","Herstellung von Lederbekleidung"
"","","","","141100","141100","Herstellung von Lederbekleidung"
