Section,Division,Group,Class,Type,Code,Name_en
"A","","","","","A","AGRICULTURE, FORESTRY AND FISHING"
"","","","","110200","110200","Manufacture of wine from grape"
"","","","1103","","1103","Manufacture of cider and other fruit wines"
"","","","","110300","110300","Manufacture of cider and other fruit wines"
"","","","1104","","1104","Manufacture of other non-distilled fermented beverages"
"","","","","110400","110400","Manufacture of other non-distilled fermented beverages"
"","","","1105","","1105","Manufacture of beer"
"","","","","110500","110500","Manufacture of beer"
"","","","1106","","1106","Manufacture of malt"
"","","","","110600","110600","Manufacture of malt"
"","","","1107","","1107","Manufacture of soft drinks; production of mineral waters and other bottled waters"
"","","","","110700","110700","Manufacture of soft drinks; production of mineral waters and other bottled waters"
"","12","","","","12","Manufacture of tobacco products"
"","","120","","","120","Manufacture of tobacco products"
"","","","1200","","1200","Manufacture of tobacco products"
"","","","","120000","120000","Manufacture of tobacco products"
"","13","","","","13","Manufacture of textiles"
"","","131","","","131","Preparation and spinning of textile fibres"
"","","","1310","","1310","Preparation and spinning of textile fibres"
"","","","","131001","131001","Preparation and spinning of cotton-type fibres"
"","","","","131002","131002","Preparation and spinning of woollen- and worsted-type fibres"
"","","","","131003","131003","Throwing and preparation of silk, synthetic or artificial filament yarns"
"","","","","131004","131004","Preparation and spinning of other textile fibres"
"","","132","","","132","Weaving of textiles"
"","","","1320","","1320","Weaving of textiles"
"","","","","132001","132001","Cotton-type weaving"
"","","","","132002","132002","Woollen-type and worsted-type weaving"
"","","","","132003","132003","Other textile weaving"
"","","133","","","133","Finishing of textiles"
"","","","1330","","1330","Finishing of textiles"
"","","","","133000","133000","Finishing of textiles"
"","","139","","","139","Manufacture of other textiles"
"","","","1391","","1391","Manufacture of knitted and crocheted fabrics"
"","","","","139100","139100","Manufacture of knitted and crocheted fabrics"
"","","","1392","","1392","Manufacture of made-up textile articles, except apparel"
"","","","","139201","139201","Manufacture of household textiles"
"","","","","139202","139202","Manufacture of bedding articles"
"","","","","139203","139203","Manufacture of other made-up textile articles except apparel"
"","","","1393","","1393","Manufacture of carpets and rugs"
"","","","","139300","139300","Manufacture of carpets and rugs"
"","","","1394","","1394","Manufacture of cordage, rope, twine and netting"
"","","","","139400","139400","Manufacture of cordage, rope, twine and netting"
"","","","1395","","1395","Manufacture of non-wovens and articles made from non-wovens, except apparel"
"","","","","139500","139500","Manufacture of non-wovens and articles made from non-wovens, except apparel"
