Section,Division,Groupe,Classe,Genre,Code,Name_fr
"A","","","","","A","AGRICULTURE, SYLVICULTURE ET PÊCHE"
"","","","1399","","1399","Fabrication d'autres textiles n.c.a."
"","","","","139901","139901","Broderie"
"","","","","139902","139902","Fabrication d'ouvrages de passementerie"
"","","","","139903","139903","Fabrication d'autres articles textiles n.c.a."
"","14","","","","14","Industrie de l'habillement"
"","","141","","","141","Fabrication de vêtements, autres qu'en fourrure"
"","","","1411","","1411","Fabrication de vêtements en cuir"
"","","","","141100","141100","Fabrication de vêtements en cuir"
"","","","1412","","1412","Fabrication de vêtements de travail"
"","","","","141200","141200","Fabrication de vêtements de travail"
"","","","1413","","1413","Fabrication de vêtements de dessus"
"","","","","141301","141301","Fabrication de vêtements de dessus pour hommes et garçonnets"
"","","","","141302","141302","Fabrication de vêtements de dessus pour femmes et fillettes"
"","","","","141303","141303","Fabrication de vêtements de dessus sans prédominance"
"","","","1414","","1414","Fabrication de vêtements de dessous"
"","","","","141401","141401","Fabrication de vêtements de dessous pour hommes et garçonnets"
"","","","","141402","141402","Fabrication de vêtements de dessous pour femmes et fillettes"
"","","","","141403","141403","Fabrication de vêtements de dessous sans prédominance"
"","","","1419","","1419","Fabrication d'autres vêtements et accessoires"
"","","","","141900","141900","Fabrication d'autres vêtements et accessoires"
"","","142","","","142","Fabrication d'articles en fourrure"
"","","","1420","","1420","Fabrication d'articles en fourrure"
"","","","","142000","142000","Fabrication d'articles en fourrure"
"","","143","","","143","Fabrication d'articles à mailles"
"","","","1431","","1431","Fabrication d'articles chaussants à mailles"
"","","","","143100","143100","Fabrication de bas, de collants et de chaussettes"
"","","","1439","","1439","Fabrication d'autres articles à mailles"
"","","","","143900","143900","Fabrication d'autres articles à mailles"
"","15","","","","15","Industrie du cuir et de la chaussure"
"","","151","","","151","Apprêt et tannage des cuirs; préparation et teinture des fourrures; fabrication d'articles de voyage, de maroquinerie et de sellerie"
"","","","1511","","1511","Apprêt et tannage des cuirs; préparation et teinture des fourrures"
"","","","","151100","151100","Apprêt et tannage des cuirs; préparation et teinture des fourrures"
"","","","1512","","1512","Fabrication d'articles de voyage, de maroquinerie et de sellerie"
"","","","","151200","151200","Fabrication d'articles de voyage, de maroquinerie et de sellerie"
"","","152","","","152","Fabrication de chaussures"
"","","","1520","","1520","Fabrication de chaussures"
"","","","","152000","152000","Fabrication de chaussures"
"","16","","","","16","Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie"
