Sezione,Divisione,Gruppo,,Genere,Code,Name_it
"A","","","","","A","AGRICOLTURA, SILVICOLTURA E PESCA"
"","","","","139500","139500","Fabbricazione di tessuti non tessuti e di articoli in tali materie, esclusi gli articoli di abbigliamento"
"","","","1396","","1396","Fabbricazione di tessuti per uso tecnico e industriale"
"","","","","139600","139600","Fabbricazione di tessuti per uso tecnico e industriale"
"","","","1399","","1399","Fabbricazione di altri prodotti tessili n.c.a."
"","","","","139901","139901","Fabbricazione di ricami"
"","","","","139902","139902","Fabbricazione di passamanerie"
"","","","","139903","139903","Fabbricazione di altri tessili n.c.a."
"","14","","","","14","Confezione di articoli di abbigliamento"
"","","141","","","141","Confezione di articoli di abbigliamento, eccetto l'abbigliamento in pelliccia"
"","","","1411","","1411","Confezione di abbigliamento in pelle"
"","","","","141100","141100","Confezione di abbigliamento in pelle"
"","","","1412","","1412","Confezione di indumenti da lavoro"
"","","","","141200","141200","Confezione di indumenti da lavoro"
"","","","1413","","1413","Confezione di altro abbigliamento esterno"
"","","","","141301","141301","Confezione di indumenti per uomo e per bambino"
"","","","","141302","141302","Confezione di indumenti per donna e per bambina"
"","","","","141303","141303","Confezione di indumenti esterni senza predominanza"
"","","","1414","","1414","Confezione di biancheria intima"
"","","","","141401","141401","Confezione di biancheria personale per uomo e per bambino"
"","","","","141402","141402","Confezione di biancheria personale per donna e per bambina"
"","","","","141403","141403","Confezione di biancheria personale senza predominanza"
"","","","1419","","1419","Confezione di altri articoli di abbigliamento ed accessori"
"","","","","141900","141900","Confezione di altri articoli di abbigliamento ed accessori"
"","","142","","","142","Confezione di articoli in pelliccia"
"","","","1420","","1420","Confezione di articoli in pelliccia"
"","","","","142000","142000","Confezione di articoli in pelliccia"
"","","143","","","143","Fabbricazione di articoli di maglieria"
"","","","1431","","1431","Fabbricazione di articoli di calzetteria in maglia"
"","","","","143100","143100","Fabbricazione di articoli di calzetteria in maglia"
"","","","1439","","1439","Fabbricazione di altri articoli di maglieria"
"","","","","143900","143900","Fabbricazione di altri articoli di maglieria"
"","15","","","","15","Confezione di articoli in pelle e simili"
"","","151","","","151","Preparazione e concia del cuoio; fabbricazione di articoli da viaggio, borse, pelletteria e selleria; preparazione e tintura di pellicce"
"","","","1511","","1511","Preparazione e concia del cuoio; preparazione e tintura di pellicce"
"","","","","151100","151100","Preparazione e concia del cuoio; preparazione e tintura di pellicce"
"","","","1512","","1512","Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria"
"","","","","151200","151200","Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria"
"","","152","","","152","Fabbricazione di calzature"
"","","","1520","","1520","Fabbricazione di calzature"
"","","","","152000","152000","Fabbricazione di calzature"
"","16","","","","16","Industria del legno e dei prodotti in legno e sughero, esclusi i mobili; fabbricazione di articoli in paglia e materiali da intreccio"
"","","161","","","161","Taglio e piallatura del legno"
"","","","1610","","1610","Taglio e piallatura del legno"
"","","","","161001","161001","Taglio del legno"
"","","","","161002","161002","Piallatura del legno e trattamento di superficie"
"","","","","161003","161003","Trattamento del legno"
"","","162","","","162","Fabbricazione di prodotti in legno, sughero, paglia e materiali da intreccio"
"","","","1621","","1621","Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno"
"","","","","162100","162100","Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno"
"","","","1622","","1622","Fabbricazione di pavimenti a parquet assemblati"
"","","","","162200","162200","Fabbricazione di pavimenti a parquet assemblati"
"","","","1623","","1623","Fabbricazione di altri prodotti di carpenteria in legno e falegnameria per l'edilizia"
"","","","","162301","162301","Falegnameria per l'edilizia, porte e finestre"
"","","","","162302","162302","Falegnameria per interni"
"","","","","162303","162303","Fabbricazione di altri elementi di carpenteria in legno e falegnameria per l'edilizia"
"","","","1624","","1624","Fabbricazione di imballaggi in legno"
"","","","","162400","162400","Fabbricazione di imballaggi in legno"
"","","","1629","","1629","Fabbricazione di altri prodotti in legno, fabbricazione di articoli in sughero, paglia e materiali da intreccio"
"","","","","162900","162900","Fabbricazione di altri prodotti in legno, fabbricazione di articoli in sughero, paglia e materiali da intreccio"
"","17","","","","17","Fabbricazione di carta e di prodotti di carta"
"","","171","","","171","Fabbricazione di pasta-carta, carta e cartone"
"","","","1711","","1711","Fabbricazione di pasta-carta"
"","","","","171100","171100","Fabbricazione di pasta-carta"
"","","","1712","","1712","Fabbricazione di carta e di cartone"
"","","","","171200","171200","Fabbricazione di carta e di cartone"
"","","172","","","172","Fabbricazione di articoli di carta e di cartone"
"","","","1721","","1721","Fabbricazione di carta e cartoni ondulati e di imballaggi di carta e cartone"
"","","","","172100","172100","Fabbricazione di carta e cartoni ondulati e di imballaggi di carta e cartone"
"","","","1722","","1722","Fabbricazione di prodotti di carta e cartone per uso domestico e igienico-sanitario"
"","","","","172200","172200","Fabbricazione di prodotti di carta e cartone per uso domestico e igienico-sanitario"
